Номер;Описание изменения;Текущий статус изменения;Бизнес-решение;Дата регистрации ЗНИ;Плановая дата выхода из текущего статуса;Дата реализации на старте;Дата реализации с текущим статусом;Просрочка, дней
5500027339;Обновление признаков;Закрыт;OFERTA;08.01.2021;-;;;-
5500027340;Контроль качества данных АО МТО;В работе;AO_MTO;08.01.2021;30.06.2021;24.07.2021;13.01.2022;173
5500027351;Необходима доработка развертки сметы в ч;В ожидании акта от подрядчика;SAPFIR;09.01.2021;31.05.2021;01.06.2021;31.05.2021;-
5500027352;Добавить «Журнал ошибок ЭЭ МП» в отчеты;Закрыт;SHAHMATKA;11.01.2021;-;;;-
5500027353;Релиз вендора 2.5.158;Закрыт;ZUP;11.01.2021;-;;;-
5500027354;Загрузка транзакционных данных бухгалтер;В ожидании акта от подрядчика;KSHD;11.01.2021;08.10.2021;19.08.2021;08.10.2021;50
5500027355;Изменения в СЗВ-ТД (релиз вендора);Закрыт;ZUP;11.01.2021;-;;;-
5500027356;Настройка режимов работы системы ИнтелПл;Отклонен;AO_MTO;12.01.2021;-;;;-
5500027357;Расчет уровня страховых запасов для синт;В ожидании акта от подрядчика;AO_MTO;12.01.2021;16.03.2022;16.07.2021;16.03.2022;243
5500027358;Формирование плана перемещений сверхзапа;Отклонен;AO_MTO;12.01.2021;-;;;-
5500027359;Формирование товарной матрицы в системе;Отклонен;AO_MTO;12.01.2021;-;;;-
5500027361;Загрузка транзакционных данных бухгалтер;Закрыт;KHD_BEF;11.01.2021;-;;;-
5500027362;Разработка инструмента для создания доку;Закрыт;SAPFIR;11.01.2021;-;;;-
5500027363;Разработка инструмента для создания сбыт;Закрыт;SAPFIR;11.01.2021;-;;;-
5500027364;Необходимо создать функциональный справо;Отклонен;KSUIT;11.01.2021;-;;;-
5500027365;Настройки КСУ НСИ ПД через КШД для интег;Отклонен;KSU_NSI;11.01.2021;-;;;-
5500027366;Корректировка расчета эскалаций в Наряда;Закрыт;KSUIT;11.01.2021;-;;;-
5500027368;Настройка даты действия Групп МТР в Набо;В работе;OFERTA;11.01.2021;15.02.2022;14.06.2021;19.07.2022;400
5500027369;Доработка платежного поручения реквизит;В согласовании.Менеджер процесса;UPP_NS;12.01.2021;15.01.2021;09.05.2021;10.05.2021;1
5500027370;реинициализация бюджета;Закрыт;SAPFIR;12.01.2021;-;;;-
5500027371;Обновление формы налоговой деклрации по;Отклонен;UPP_NS;12.01.2021;-;;;-
5500027372;Настройки КСУ НСИ ПД через КШД для интег;Отклонен;KSHD;12.01.2021;-;;;-
5500027373;Отображение данных о тех. поддержке в ин;Закрыт;KSUIT;12.01.2021;-;;;-
5500027374;Отключение регламентных заданий;В работе;ERP_KFSCH;12.01.2021;14.01.2022;29.04.2021;01.05.2022;367
5500027375;Реестры для подтверждения ставки НДС 0%;Согласование ЧТЗ ВБР;UPP_MB;12.01.2021;03.11.2021;30.08.2021;21.06.2022;295
5500027376;"Изменения в шаблон ""Изменение ВМ""";В ожидании акта от подрядчика;KSUIT;12.01.2021;16.07.2021;18.05.2021;16.07.2021;58
5500027377;Создание новой технической роли в АСХД д;Закрыт;ASKHD;12.01.2021;-;;;-
5500027378;Выгрузка графиков ЭПБ транзакции;В разработке ЧТЗ;TORO_NPZ;12.01.2021;31.01.2021;13.08.2021;01.09.2021;19
5500027379;Интеграция УПП НЭН с SAP Шаблон МТО;Согласование ЧТЗ Инициатором;KSHD;12.01.2021;24.12.2021;13.09.2021;25.08.2022;346
5500027380;Доработка АС «Планирование»;Закрыт;OFERTA;12.01.2021;-;;;-
5500027383;Необходимы новые атрибуты в системах для;Отклонен;SAP_HR;13.01.2021;-;;;-
5500027384;АСУЗ (база цен): Доработка функционала б;Закрыт;OFERTA;14.01.2021;-;;;-
